latitude,longitude,depth,temperature,salinity
53.800335,-9.866966,16.23174092,9.284800296,34.08364908
53.800335,-9.866966,16.52954919,9.287419651,34.09910301
53.800335,-9.866966,16.82735434,9.291024071,34.1093912
53.800335,-9.866966,17.12515812,9.293887156,34.10959018
53.800335,-9.866966,17.42295961,9.296311378,34.1276747
53.800335,-9.866966,17.72075905,9.298203076,34.12553746
53.800335,-9.866966,18.01855895,9.300518167,34.12156601
53.800335,-9.866966,18.31635795,9.301433675,34.131097
53.800335,-9.866966,18.61415562,9.301703613,34.13058179
53.800335,-9.866966,18.9119523,9.302595715,34.13700733
53.800335,-9.866966,19.20974803,9.303572013,34.13643731
53.800335,-9.866966,19.50754449,9.305545338,34.12817252
53.800335,-9.866966,19.80534057,9.30659311,34.1374123
53.800335,-9.866966,20.10313528,9.307099121,34.13759672
53.800335,-9.866966,20.40092966,9.308763027,34.1378078
53.800335,-9.866966,20.69872348,9.309204747,34.13994018
53.800335,-9.866966,20.99651657,9.309263212,34.14134209
53.800335,-9.866966,21.29430986,9.311592961,34.13575371
53.800335,-9.866966,21.59210211,9.31150718,34.14801324
53.800335,-9.866966,21.88989294,9.311615542,34.14522384
53.800335,-9.866966,22.18768424,9.312143326,34.14105134
53.800335,-9.866966,22.48547611,9.313707355,34.13760827
53.800335,-9.866966,22.78326737,9.313666305,34.14378237
53.800335,-9.866966,23.08105791,9.314414074,34.14106599
53.800335,-9.866966,23.37884865,9.313430385,34.13906504
53.800335,-9.866966,23.67663927,9.313323691,34.13885151
53.800335,-9.866966,23.97442945,9.312824431,34.13986888
53.800335,-9.866966,24.27221891,9.312426228,34.14202203
53.800335,-9.866966,24.57000851,9.313672266,34.13587499
53.800335,-9.866966,24.86779761,9.312658987,34.14342876
53.800335,-9.866966,25.16558593,9.3124931,34.13953262
53.800335,-9.866966,25.46337402,9.312040151,34.14230166
53.800335,-9.866966,25.76116162,9.307924177,34.13999631
53.800335,-9.866966,26.0589478,9.306984694,34.15072338
53.800335,-9.866966,26.35673282,9.307011036,34.14706303
